station_name,blue_betweenness,blue_closeness_centrality,blue_degree_centrality,blue_harmonic,blue_wasserman,gray_betweenness,gray_closeness_centrality,gray_degree_centrality,gray_harmonic,gray_wasserman,green_betweenness,green_closeness_centrality,green_degree_centrality,green_harmonic,green_wasserman,orange_betweenness,orange_closeness_centrality,orange_degree_centrality,orange_harmonic,orange_wasserman,red_betweenness,red_closeness_centrality,red_degree_centrality,red_harmonic,red_wasserman,yellow_betweenness,yellow_closeness_centrality,yellow_degree_centrality,yellow_harmonic,yellow_wasserman
12th Street,,,,,,,,,,,,,,,,4986.833333333334,0.1348221670802316,5.0,0.1540750655187275,0.10317377105200821,2724.833333333333,0.1347107438016529,5.0,0.15354398470595654,0.10308850347262641,3545.3333333333335,0.13560732113144758,5.0,0.15383863007102444,0.10377461664049745
16th Street Mission,1914.3333333333333,0.10723684210526316,6.0,0.13998051612788018,0.0820638744749197,,,,,,2416.166666666667,0.1078042328042328,6.0,0.14012092975976895,0.08249807486896689,,,,,,1986.3333333333333,0.1075907590759076,6.0,0.14062816419954602,0.0823347123444739,2526.166666666667,0.10816191108161911,6.0,0.14075274207616242,0.08277179110940806
19th Street,,,,,,,,,,,,,,,,4632.0,0.12724434035909446,5.0,0.14592149427484966,0.0973747768945183,2568.0,0.12714508580343215,5.0,0.14555248021486625,0.09729882153032601,3405.0,0.12794348508634223,5.0,0.14590860557099164,0.09790980314119148
24th Street Mission,1952.8333333333333,0.10086633663366337,6.0,0.1362214742529137,0.07718879282294427,,,,,,2436.0,0.1013681592039801,6.0,0.13634605212953008,0.07757281666783454,,,,,,2028.3333333333335,0.10117939168218498,6.0,0.13717790834936433,0.07742836077087396,2553.8333333333335,0.10168434185901434,6.0,0.13728919699627848,0.07781477804234431
Antioch,,,,,,,,,,,,,,,,,,,,,,,,,,325.0,0.058759913482335974,2.0,0.06552205494612387,0.04496650656159983
Ashby,,,,,,,,,,,,,,,,2317.0,0.10946944257891202,4.0,0.12774359689013245,0.08377239033034113,2390.0,0.10939597315436242,4.0,0.1275376625341741,0.08371616724958252,,,,,
Balboa Park,1538.25,0.08868335146898804,6.0,0.12586460045096637,0.06786566333072794,,,,,,1892.5833333333335,0.08907103825136611,6.0,0.12596462623450505,0.0681623438261628,,,,,,2860.75,0.0889252591380251,6.0,0.1283527098308911,0.06805078516196288,3363.4166666666665,0.08931506849315068,6.0,0.12844310573783385,0.06834908997363175
Bay Fair,2008.1666666666665,0.1034920634920635,5.0,0.13123501191351017,0.07919815187420821,,,,,,3121.166666666667,0.10402042118698149,5.0,0.13223918510078195,0.0796024819412112,3077.6666666666665,0.1037555697008275,5.0,0.13226644705572452,0.07939980216542199,,,,,,,,,,
Berryessa,,,,,,,,,,,168.5,0.06399685904986259,3.0,0.0789258140456132,0.04897412218369766,158.5,0.06389651117208937,3.0,0.0789220854643238,0.04889733014577732,,,,,,,,,,
Castro Valley,1589.0,0.09438332368268675,3.0,0.11222590877018995,0.0722276138980185,,,,,,,,,,,,,,,,,,,,,,,,,
Civic Center,2122.25,0.11366806136680614,6.0,0.14339185919822997,0.08698541785347137,,,,,,2640.75,0.11430575035063113,6.0,0.14355135480097325,0.08747341458757218,,,,,,2180.5833333333335,0.11406578026592022,6.0,0.14382735223935678,0.08728977550866196,2735.4166666666665,0.11470795214637579,6.0,0.14396776587124555,0.08778120281624063
